ID,Goal ID,Metric Name,Center,Yearly Goal,Initial Value,Year
e2c01b57-f156-4f79-93ff-aa98ec1110ff,1,Folk Residency Strength Bs,FOLK Powai,24,10,2026
7d23a199-3494-4fe9-aa08-cf048f9d82d1,2,No of Bs Non Residents,FOLK Powai,66,30,2026
c8a8e8e3-c408-4135-af27-d18fbb148203,3,Avg Hours Preaching,FOLK Powai,0,0,2026
8fc0f671-9849-420f-a280-3dd46be3cd6d,4,No of Meetings,FOLK Powai,0,0,2026
1f44d26f-0274-4219-8c7e-dd3eb907c3f1,5,BV Groups Attendance,FOLK Powai,0,0,2026
b251b052-73f9-4c5a-a8a5-64f487578c4e,6,Books Distributed,FOLK Powai,0,0,2026
3667131f-a806-45e9-abda-fd101140b8de,7,No of BV Groups,FOLK Powai,0,0,2026
4562d7f2-988b-4f6f-92f0-57b8b43a8309,8,Folk Residency Strength,FOLK Powai,0,0,2026
fa93411b-6d92-4862-88d6-1e2cf6dfd4c4,9,Boys Chanting 16 Rounds,FOLK Powai,0,0,2026
