ID,Level Name,Level Order,Chanting Rounds Required,Chanting Months,Morning Program,SP Reading Pages Per Month,Books To Read,Course Syllabus,Class Freq Per Month,One On One Per Month,Accept Krishna SPG,Service Hours Month,Donation Required,Avoid Onion Garlic,Avoid Intoxicants,No Gambling,No Illicit Sex,Avoid Nonveg,Fasting,Kanthi Mala,Sadhana Score Required,Sadhana Score Months
2b9de2b1-0918-45e5-8970-4ab98bf36670,Jigyasa,1,,,,,,Jigyasa,,,,,,,,false,false,false,,false,,
fad4f56e-5b37-43ca-9eb3-ee2e7c2ccc83,Shraddhavan,2,1,3,none,20,BBD,PT,1,1,NO,2,none,aware,aware,false,false,false,aware,false,fill,3
9c167402-1da5-4690-af00-47ae764be1fa,Sevak,3,4,3,none,30,PQPA,GTG,2,1,YES,4,none,unhappy,unhappy,false,false,false,trying,false,75,3
aad057dc-bae1-4cfd-b921-2a655aff7d16,Sadhaka,4,8,3,try,45,POY & RV,PBP,2,1,YES,4,none,mostly,mostly,true,true,true,ekadashi,false,75,3
9c54a139-cc11-4570-b100-d7d0deebb08a,Upasaka,5,12,3,daily,45,SSR,SE,3,1,YES,6,try,mostly,mostly,true,true,true,ekadashi,false,75,3
3714af24-3e33-4986-b5ab-1841c3c7ccf0,Caranashraya,6,16,3,daily,45,BG Intro-Ch9,BH,3,1,YES,6,yes,fully,yes,true,true,true,ekadashi,true,,
84be6993-fc4a-4f5c-863f-f22142b54f97,Harinam Diksha,7,16,6,daily,45,BG Full,IDC,3,1,YES,6,yes,fully,yes,true,true,true,ekadashi,true,,
